"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.90048803 -0.31836025 -0.10831271  0.85220882 -0.07574625  0.07343255
  0.9556907   1.20148682  0.50296007  0.91211577  0.41836649  0.57288575
  0.54740586 -0.23205331  1.15086654  0.23955497  0.59113486  0.77644124
  0.28008804  0.94074434 -0.27209535  0.38144691 -0.13292155  1.04675943
 -0.01472303  0.42036371  0.48853536  1.02944373 -0.31298552  0.67874064
  0.52707944 -0.31680678  0.53297215  0.64693815  0.05317333 -0.14616086]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.98027959 -0.3981518  -0.18810426  0.77241726 -0.1555378   0.1532241
  1.03548225  1.12169527  0.42316852  0.83232421  0.49815805  0.4930942
  0.4676143  -0.31184487  1.2306581   0.15976341  0.51134331  0.69664969
  0.20029648  0.86095279 -0.1923038   0.30165536 -0.05313     0.96696788
  0.06506852  0.50015526  0.56832692  1.10923529 -0.23319397  0.59894908
  0.606871   -0.23701523  0.45318059  0.5671466  -0.02661822 -0.06636931]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.75564256 -2.13407395  1.54781788  2.50833941  1.58038434 -1.58269805
 -0.7004399   2.85761741  2.15909066  2.56824636  2.23408019  2.22901635
 -1.26830784  1.42407728 -0.50526405  1.89568556  2.24726546  2.43257184
 -1.53562566  2.59687493  1.54361835 -1.43426679 -1.78905215 -0.76895427
  1.80099067  2.23607741  2.30424906 -0.62668686  1.50272818  2.33487123
 -1.12905115 -1.97293738  2.18910274  2.30306874  1.70930393  1.66955284]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-1.24279355 -1.64692295  2.03496888  2.02118842  1.09323335 -1.09554705
 -1.18759089  2.37046642  1.67193967  2.08109536  2.72123119  2.71616734
 -1.75545884  0.93692628 -0.99241504  2.38283655  2.73441645  2.91972283
 -2.02277666  3.08402593  1.05646735 -1.92141778 -1.30190115 -0.28180327
  1.31383967  1.74892641  1.81709807 -0.13953586  1.01557718  2.82202223
 -1.61620214 -1.48578638  2.67625374  1.81591775  2.19645492  1.18240184]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.2414008  -0.6455302   1.03357613  1.01979566  0.09184059 -0.0941543
 -2.18898365  3.37185917  2.67333242  1.07970261  1.71983843  1.71477459
 -0.75406609 -0.06446647 -1.9938078   1.3814438   1.7330237   1.91833008
 -3.02416941  2.08263318  2.05786011 -0.92002503 -0.3005084  -1.28319602
  2.31523243  0.74753366  2.81849082 -1.14092862  2.01696994  3.82341498
 -0.61480939 -0.48439363  1.67486098  2.8173105   1.19506217  0.18100909]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.92536784 -1.32949724  0.34960908  1.7037627   0.77580764  0.58981275
 -1.5050166   2.68789213  3.35729946  0.39573557  1.03587139  2.39874163
 -1.43803313  0.61950057 -2.67777484  0.69747676  1.04905665  2.60229712
 -2.34020237  2.76660022  1.37389307 -1.60399207  0.38345865 -0.59922898
  2.99919947  0.06356661  2.13452378 -1.82489566  1.3330029   4.50738202
  0.06915765 -1.16836067  0.99089394  3.50127755  0.51109512 -0.50295796]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.77601908 -1.47884601  0.49895785  1.85311147  0.9251564   0.73916151
 -1.65436537  2.53854336  3.50664823  0.54508433  0.88652262  2.5480904
 -1.28868436  0.47015181 -2.52842608  0.84682552  1.19840542  2.45294836
 -2.1908536   2.91594899  1.2245443  -1.45464331  0.23410988 -0.44988022
  3.14854824  0.21291538  2.28387254 -1.97424443  1.48235166  4.65673079
 -0.08019111 -1.0190119   0.84154517  3.35192878  0.66044389 -0.65230672]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.23646965 -2.01839543 -0.04059158  1.31356204  0.38560698  0.19961209
 -1.11481594  1.99899394  2.9670988   0.00553491  1.42607205  2.00854097
 -1.82823379 -0.06939762 -1.98887665  0.3072761   0.65885599  2.99249778
 -1.65130418  3.45549841  1.76409373 -1.99419273 -0.30543954  0.08966921
  3.68809766  0.75246481  1.74432312 -1.434695    0.94280224  4.11718136
  0.45935831 -0.47946248  1.3810946   2.81237935  0.12089446 -1.19185615]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.83301921 -3.0878843   1.02889729  0.24407318 -0.68388189  1.26910095
 -0.04532708  3.0684828   4.03658767  1.07502377  0.35658318  3.07802984
 -0.75874492  1.00009124 -3.05836551 -0.76221277  1.72834486  4.06198665
 -0.58181531  4.52498728  0.69460486 -3.0636816  -1.37492841  1.15915807
  2.6186088  -0.31702406  2.81381198 -0.36520614  2.0122911   5.18667023
  1.52884718  0.59002639  2.45058346  3.88186822 -0.9485944  -0.12236728]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 1.26376765 -3.51863273  0.59814885 -0.18667526 -0.25313345  0.83835251
  0.38542136  3.49923124  3.60583923  1.50577221  0.78733162  3.50877827
 -1.18949336  1.43083968 -2.62761708 -0.33146433  1.29759642  4.49273508
 -0.15106688  4.95573571  0.26385642 -3.49443003 -1.80567685  0.72840964
  2.18786036 -0.7477725   3.24456042  0.0655423   2.44303954  4.75592179
  1.09809874  1.02077482  2.8813319   4.31261666 -0.51784596 -0.55311572]",10
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.22142439 -2.47628947  1.64049211 -1.22901852 -1.29547672 -0.20399075
 -0.65692191  2.45688798  4.6481825   0.46342894 -0.25501164  4.55112154
 -2.23183663  2.47318295 -3.66996034  0.71087894  2.33993969  3.45039182
  0.89127639  3.91339245 -0.77848684 -4.5367733  -2.84802011 -0.31393363
  1.14551709 -1.79011576  2.20221715 -0.97680096  3.4853828   5.79826506
  2.140442    2.06311809  1.83898863  5.35495992 -1.56018923 -1.59545899]",11
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.27102589 -1.98383919  1.14804184 -0.73656825 -1.78792699  0.28845953
 -1.14937218  2.94933825  5.14063277 -0.02902133  0.23743863  5.04357182
 -2.7242869   1.98073267 -4.16241062  0.21842866  1.84748941  3.9428421
  1.38372667  4.40584272 -1.27093712 -4.04432302 -2.35556983 -0.80638391
  0.65306682 -2.28256604  1.70976688 -0.48435069  3.97783308  6.29071533
  2.63289228  2.55556837  2.33143891  5.8474102  -2.05263951 -1.10300871]",12
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-0.91898164 -1.33588344  1.79599759 -1.384524   -1.13997124 -0.35949623
 -1.79732794  3.597294    4.49267702  0.61893442  0.88539439  4.39561606
 -3.37224266  2.62868842 -3.51445487 -0.42952709  2.49544516  3.29488634
  0.73577092  5.05379848 -0.62298137 -4.69227877 -3.00352559 -1.45433966
  1.30102257 -2.93052179  1.06181113  0.16360506  4.62578883  5.64275958
  1.98493653  3.20352412  2.97939466  5.19945445 -2.70059526 -0.45505296]",13
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[-1.8720607  -2.28896249  2.74907664 -0.43144494 -0.18689219 -1.31257528
 -2.75040699  4.55037306  5.44575608  1.57201347  1.83847344  3.44253701
 -2.4191636   3.58176747 -4.46753392 -1.38260615  3.44852421  4.2479654
 -0.21730814  4.10071942  0.33009769 -3.73919972 -2.05044653 -0.5012606
  2.25410162 -3.88360084  2.01489018  1.11668412  3.67270978  4.68968053
  1.03185748  2.25044506  3.93247372  6.1525335  -3.65367431  0.4980261 ]",14
