"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.73268631 0.78185934 0.3734412  0.97989438 0.04039312 0.18956556
 0.39526482 0.94919028 0.10429328 0.76703341 0.18604942 0.62589425
 0.12601508 0.63838742 0.09332187 0.11658798 0.5787353  0.13468922
 0.13128755 0.61851415 0.54578803 0.13638721 0.91220264 0.87226234
 0.13515586 0.68666022 0.54236471 0.29887566 0.15364624 0.73642737
 0.82705984 0.05245167 0.94104276 0.59319756 0.12361817 0.65885134
 0.99370627 0.04529915 0.08983015 0.50603979 0.18191512 0.33838949
 0.50110825 0.64501982 0.99521728 0.48838237 0.38523327 0.13912961
 0.20484637 0.11042143 0.22763872 0.89679031 0.37526131 0.3945777
 0.30959034 0.66220257 0.68939523 0.62637945 0.67547833 0.18094855
 0.79033224 0.38296775 0.64187907 0.01539521 0.24129382 0.33099544
 0.9346365  0.80960155 0.56382137 0.50742763 0.27192286 0.4870415
 0.02004465 0.81029166 0.97068914 0.36627492 0.7988871  0.1553862
 0.89553745 0.8880623  0.23167337 0.25726594 0.47657474 0.84389872]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.60221445  0.65138748  0.24296934  0.84942252 -0.09007874  0.0590937
  0.26479296  0.81871842 -0.02617858  0.89750527  0.05557756  0.49542239
  0.25648694  0.50791556 -0.03714999  0.24705984  0.70920716  0.00421736
  0.26175941  0.48804229  0.67625989  0.26685907  0.78173078  1.0027342
  0.004684    0.55618836  0.67283657  0.42934752  0.2841181   0.86689923
  0.69658798  0.18292353  1.07151462  0.72366942 -0.00685369  0.52837948
  1.12417813  0.17577101 -0.04064171  0.63651165  0.31238698  0.46886135
  0.63158011  0.51454796  0.86474542  0.35791051  0.25476141  0.00865775
  0.33531823  0.24089329  0.09716686  1.02726217  0.50573317  0.26410584
  0.17911848  0.79267443  0.55892337  0.49590759  0.54500647  0.31142041
  0.65986038  0.25249589  0.51140721 -0.11507665  0.11082196  0.4614673
  0.80416464  0.94007341  0.43334951  0.37695577  0.40239472  0.61751336
  0.15051651  0.94076352  1.101161    0.23580306  0.66841524  0.02491434
  0.76506559  1.01853416  0.10120151  0.3877378   0.34610288  0.97437058]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.5066082   0.55578123  0.14736309  0.94502877 -0.18568499 -0.03651255
  0.1691867   0.72311217 -0.12178484  0.80189902  0.15118382  0.39981614
  0.3520932   0.60352181  0.05845627  0.34266609  0.80481341 -0.0913889
  0.35736566  0.39243604  0.77186614  0.36246533  0.68612453  1.09834045
 -0.09092225  0.65179461  0.57723031  0.52495377  0.18851185  0.77129298
  0.60098172  0.08731728  1.16712088  0.62806316 -0.10245995  0.43277323
  1.21978439  0.27137727 -0.13624796  0.54090539  0.40799323  0.56446761
  0.72718636  0.61015421  0.96035167  0.26230425  0.15915516  0.104264
  0.43092449  0.14528703  0.0015606   0.93165591  0.41012692  0.3597121
  0.27472473  0.69706818  0.65452963  0.40030134  0.44940022  0.40702667
  0.56425412  0.15688964  0.41580095 -0.2106829   0.01521571  0.36586104
  0.70855839  1.03567967  0.33774325  0.47256202  0.49800098  0.52190711
  0.05491025  1.03636978  1.00555475  0.14019681  0.76402149  0.12052059
  0.66945933  1.11414041  0.00559525  0.48334405  0.44170913  1.06997683]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.4526993   0.60969013  0.20127199  0.99893768 -0.2395939   0.01739635
  0.22309561  0.77702107 -0.06787593  0.85580792  0.09727491  0.34590723
  0.4060021   0.54961291  0.11236517  0.28875719  0.85872232 -0.1452978
  0.41127457  0.44634494  0.82577504  0.41637423  0.74003343  1.15224936
 -0.14483116  0.59788571  0.63113922  0.57886268  0.24242075  0.71738407
  0.65489063  0.14122618  1.22102978  0.68197207 -0.04855104  0.37886432
  1.27369329  0.21746836 -0.08233906  0.5948143   0.35408433  0.5105587
  0.78109527  0.55624531  0.90644276  0.31621316  0.21306406  0.1581729
  0.37701558  0.19919594 -0.0523483   0.98556482  0.46403582  0.413621
  0.32863363  0.64315927  0.60062072  0.34639244  0.50330913  0.46093557
  0.51034522  0.10298073  0.36189205 -0.15677399 -0.0386932   0.31195214
  0.76246729  0.98177076  0.28383435  0.41865312  0.44409207  0.4679982
  0.10881916  0.98246087  1.05946365  0.19410571  0.8179304   0.06661169
  0.61555043  1.16804932  0.05950416  0.53725296  0.49561804  1.12388574]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 5.12671598e-01  6.69662437e-01  2.61244296e-01  1.05890998e+00
 -1.79621595e-01 -4.25759508e-02  1.63123306e-01  7.17048768e-01
 -1.27848235e-01  9.15780226e-01  3.73026100e-02  2.85934931e-01
  4.65974402e-01  4.89640603e-01  5.23928676e-02  3.48729491e-01
  9.18694619e-01 -8.53255005e-02  4.71246871e-01  3.86372640e-01
  8.85747346e-01  3.56401930e-01  8.00005735e-01  1.21222166e+00
 -8.48588569e-02  6.57858008e-01  5.71166915e-01  5.18890374e-01
  1.82448451e-01  6.57411769e-01  7.14862930e-01  2.01198484e-01
  1.28100208e+00  7.41944369e-01  1.14212612e-02  4.38836624e-01
  1.21372099e+00  2.77440663e-01 -1.42311357e-01  5.34841995e-01
  4.14056632e-01  4.50586401e-01  7.21122966e-01  4.96273003e-01
  9.66415067e-01  2.56240856e-01  2.73036365e-01  9.82006016e-02
  3.17043278e-01  2.59168239e-01  7.62400109e-03  9.25592516e-01
  5.24008124e-01  4.73593305e-01  2.68661333e-01  5.83186972e-01
  5.40648418e-01  4.06364738e-01  4.43336823e-01  5.20907874e-01
  4.50372916e-01  1.62953037e-01  3.01919745e-01 -9.68016926e-02
 -9.86654988e-02  2.51979836e-01  7.02494991e-01  1.04174306e+00
  2.23862048e-01  4.78625422e-01  3.84119768e-01  4.08025902e-01
  4.88468572e-02  9.22488569e-01  1.11943596e+00  1.34133412e-01
  7.57958097e-01  1.26583990e-01  5.55578125e-01  1.22802162e+00
 -4.68144180e-04  4.77280656e-01  4.35645737e-01  1.06391343e+00]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.5031974   0.67913664  0.2517701   1.04943578 -0.1701474  -0.05205015
  0.15364911  0.72652297 -0.11837404  0.90630603  0.04677681  0.27646073
  0.4754486   0.4801664   0.04291867  0.33925529  0.90922042 -0.0947997
  0.48072107  0.37689844  0.87627315  0.34692773  0.80947993  1.20274746
 -0.07538466  0.64838381  0.56169272  0.52836457  0.19192265  0.66688597
  0.72433713  0.19172428  1.29047628  0.73247017  0.00194706  0.44831082
  1.22319519  0.28691486 -0.15178556  0.5253678   0.42353083  0.4411122
  0.71164877  0.4867988   0.95694087  0.24676666  0.26356217  0.1076748
  0.30756908  0.26864244  0.0170982   0.93506672  0.53348232  0.46411911
  0.27813553  0.57371277  0.53117422  0.41583894  0.45281102  0.53038207
  0.44089872  0.17242724  0.31139394 -0.08732749 -0.0891913   0.26145404
  0.71196919  1.03226886  0.23333625  0.46915122  0.37464557  0.4175001
  0.03937266  0.91301437  1.10996176  0.12465921  0.7674323   0.11710979
  0.56505232  1.21854742  0.00900605  0.46780646  0.42617154  1.07338763]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 4.59225830e-01  7.23108205e-01  2.07798528e-01  1.09340735e+00
 -2.14118964e-01 -9.60217184e-02  1.09677539e-01  6.82551399e-01
 -7.44024679e-02  9.50277595e-01  2.80524054e-03  3.20432300e-01
  4.31477033e-01  5.24137973e-01 -1.05290003e-03  2.95283724e-01
  9.53191989e-01 -5.08281310e-02  4.36749501e-01  3.32926873e-01
  8.32301578e-01  3.90899299e-01  7.65508365e-01  1.24671903e+00
 -3.14130893e-02  6.92355378e-01  6.05664284e-01  5.72336142e-01
  1.47951081e-01  7.10857537e-01  6.80365561e-01  2.35695853e-01
  1.24650471e+00  6.88498601e-01 -4.20245064e-02  4.92282391e-01
  1.26716676e+00  3.30886430e-01 -1.07813988e-01  5.69339365e-01
  3.79559263e-01  4.85083770e-01  7.55620335e-01  5.30770372e-01
  9.12969300e-01  2.90738226e-01  3.07533734e-01  6.37032321e-02
  3.51540648e-01  3.12614007e-01 -2.68733684e-02  8.91095147e-01
  5.77453891e-01  4.20147537e-01  2.34163963e-01  5.29741204e-01
  5.75145788e-01  3.71867369e-01  4.08839454e-01  4.86410504e-01
  4.84870285e-01  2.16398804e-01  3.55365513e-01 -4.33559250e-02
 -1.33162868e-01  2.17482467e-01  7.55940759e-01  9.88297295e-01
  2.77307815e-01  5.13122792e-01  3.30674001e-01  4.61471669e-01
  8.33442267e-02  8.69042802e-01  1.06599019e+00  1.68630782e-01
  8.11403865e-01  7.31382229e-02  5.21080756e-01  1.17457585e+00
 -3.49655136e-02  5.11778025e-01  3.82199970e-01  1.11735920e+00]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.42458596  0.75774807  0.24243839  1.05876748 -0.24875883 -0.13066159
  0.07503767  0.64791153 -0.0397626   0.91563773  0.03744511  0.28579243
  0.39683717  0.55877784 -0.03569277  0.26064386  0.91855212 -0.01618826
  0.47138937  0.36756674  0.86694145  0.42553917  0.7308685   1.2813589
 -0.06605296  0.72699524  0.64030415  0.60697601  0.18259095  0.67621767
  0.71500543  0.20105599  1.28114458  0.72313847 -0.00738464  0.45764252
  1.23252689  0.29624656 -0.07317412  0.5346995   0.3449194   0.4504439
  0.72098047  0.56541024  0.87832943  0.25609836  0.27289387  0.02906337
  0.38618051  0.27797414 -0.06151324  0.85645528  0.54281402  0.4547874
  0.26880383  0.56438107  0.60978565  0.3372275   0.37419959  0.52105037
  0.51951015  0.18175894  0.32072565 -0.07799579 -0.098523    0.25212233
  0.79058063  0.95365743  0.24266795  0.47848293  0.29603413  0.4268318
  0.04870436  0.90368267  1.10063005  0.20327065  0.84604373  0.10777809
  0.48644089  1.20921572 -0.06960538  0.54641789  0.3475601   1.15199907]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.40336329  0.7365254   0.26366106  1.07999015 -0.2699815  -0.15188425
  0.053815    0.62668886 -0.06098527  0.89441506  0.01622244  0.26456976
  0.3756145   0.58000051 -0.0144701   0.23942119  0.93977479  0.0050344
  0.49261204  0.38878941  0.88816411  0.4043165   0.75209117  1.26013623
 -0.08727563  0.74821791  0.66152682  0.62819868  0.20381362  0.69744034
  0.69378276  0.17983332  1.30236725  0.74436114  0.01383803  0.47886519
  1.21130422  0.27502389 -0.09439679  0.55592217  0.36614207  0.42922123
  0.6997578   0.54418757  0.8995521   0.23487569  0.29411654  0.0078407
  0.40740318  0.25675147 -0.04029057  0.87767795  0.56403669  0.43356473
  0.24758116  0.5431584   0.63100832  0.35845017  0.39542226  0.54227304
  0.49828748  0.16053627  0.34194832 -0.05677312 -0.07730033  0.23089966
  0.81180329  0.93243476  0.26389062  0.45726026  0.27481146  0.40560913
  0.06992703  0.92490534  1.12185272  0.22449332  0.8672664   0.12900076
  0.46521822  1.23043839 -0.09082805  0.56764056  0.36878277  1.1307764 ]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.29313596  0.62629806  0.15343373  0.96976281 -0.38020884 -0.26211159
  0.16404234  0.51646152  0.04924207  1.0046424   0.12644978  0.3747971
  0.48584184  0.69022785  0.09575724  0.12919385  1.05000213  0.11526174
  0.60283938  0.49901675  0.99839145  0.29408916  0.86231851  1.37036356
  0.02295171  0.85844525  0.55129948  0.73842602  0.09358628  0.80766768
  0.58355542  0.29006066  1.19213991  0.6341338   0.12406537  0.58909253
  1.32153156  0.16479656  0.01583055  0.44569483  0.25591473  0.53944857
  0.58953046  0.65441491  1.00977944  0.34510303  0.40434388 -0.10238664
  0.29717585  0.14652413  0.06993677  0.98790529  0.45380936  0.3233374
  0.3578085   0.43293106  0.74123566  0.46867751  0.50564959  0.4320457
  0.38806014  0.05030893  0.45217565  0.05345422  0.03292701  0.12067233
  0.70157596  1.0426621   0.37411796  0.56748759  0.3850388   0.29538179
  0.18015437  0.814678    1.01162539  0.11426598  0.75703906  0.2392281
  0.35499088  1.12021105 -0.20105539  0.6778679   0.47901011  1.02054906]",10
