"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.72130694  0.27633534  0.36529501  0.50107832  0.22598943  0.19899725
  0.78780291  0.88569124  0.79154899  0.38594817  0.76224669  0.22597225
  0.92737515  0.2148378   0.56345565  0.61896381  0.56218264  0.85705508
  0.51452939  0.30984747  0.55289412  0.48906185  0.77184083  0.55898293
  0.94086969  0.11326799  0.70277515  0.02285079  1.02788029  0.26679245
  1.03198375  1.00649748  0.3077761   0.99686491  0.00849833  0.94277491
  1.01598711  0.41646971  0.96513315  0.26494777  0.67306052  0.14391894
  0.45391986  0.12211691  0.65083053  0.2692519   0.9008634   0.60255039
  0.6990029   0.52106412  0.4097603   0.50709342  0.38928994  0.86223927
  0.64001451  0.278363   -0.04098897  0.5798331   0.22952717  0.37413451
  0.963808   -0.02754099  0.77378424  0.12055241  0.68442056  0.58496305
  0.00846585  0.32093397  0.83404377  0.74148706  0.36302067  0.32007206
 -0.05412827  0.64515356  0.24605046  0.73286002  0.9068871   0.79929576
  0.26987475  0.50391684  0.81871173  0.53366943  0.10497077  0.52575023]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.63904937  0.19407778  0.44755258  0.58333589  0.30824699  0.28125481
  0.87006048  0.80343368  0.70929143  0.30369061  0.67998913  0.30822981
  0.84511759  0.29709536  0.48119809  0.53670624  0.47992508  0.93931264
  0.59678695  0.39210504  0.63515168  0.57131941  0.85409839  0.47672537
  1.02312725  0.03101043  0.78503271  0.10510835  0.94562273  0.18453489
  1.11424131  0.92423991  0.22551854  0.91460734  0.09075589  1.02503247
  0.93372955  0.33421215  1.04739071  0.34720533  0.75531808  0.2261765
  0.53617742  0.20437447  0.73308809  0.18699434  0.98312096  0.52029283
  0.78126046  0.43880655  0.49201786  0.42483586  0.47154751  0.94449683
  0.72227207  0.36062056 -0.12324653  0.49757554  0.14726961  0.29187695
  1.04606556 -0.10979856  0.69152668  0.20280997  0.602163    0.50270549
  0.09072341  0.23867641  0.91630134  0.82374462  0.44527823  0.2378145
 -0.13638583  0.562896    0.32830802  0.65060246  0.98914466  0.88155332
  0.18761719  0.5861744   0.9009693   0.61592699  0.02271321  0.60800779]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.64329233  0.18983483  0.44330962  0.58757884  0.30400404  0.27701186
  0.86581752  0.80767663  0.70504848  0.29944766  0.68423208  0.31247276
  0.84087464  0.29285241  0.47695513  0.53246329  0.48416803  0.93506969
  0.592544    0.38786208  0.63939463  0.56707646  0.85834135  0.48096832
  1.02737021  0.02676748  0.78078976  0.1008654   0.94137978  0.18029194
  1.10999836  0.91999696  0.2297615   0.9188503   0.08651294  1.02927542
  0.9379725   0.3299692   1.05163366  0.34296238  0.75107513  0.23041945
  0.54042037  0.20861742  0.73733104  0.18275139  0.97887801  0.52453578
  0.77701751  0.4345636   0.49626081  0.42059291  0.46730455  0.94873978
  0.72651502  0.35637761 -0.11900358  0.49333259  0.14302666  0.28763399
  1.04182261 -0.1055556   0.69576963  0.19856702  0.60640595  0.49846254
  0.08648046  0.24291936  0.91205838  0.82798757  0.44952118  0.24205745
 -0.13214288  0.55865305  0.32406507  0.64635951  0.98490171  0.88579627
  0.18337424  0.58193145  0.90521225  0.61168404  0.01847026  0.60376484]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.63614061  0.18268311  0.45046134  0.58042712  0.29685232  0.28416358
  0.8586658   0.80052491  0.69789676  0.30659938  0.67708036  0.31962448
  0.84802636  0.28570069  0.46980341  0.53961501  0.49131975  0.92791797
  0.58539228  0.38071036  0.63224291  0.57422818  0.86549307  0.48812004
  1.02021849  0.01961576  0.78794148  0.09371368  0.93422806  0.17314022
  1.10284664  0.91284524  0.22260978  0.92600202  0.07936122  1.0221237
  0.94512422  0.33712092  1.04448194  0.3501141   0.75822685  0.23757117
  0.53326865  0.21576914  0.74448276  0.18990311  0.98602973  0.51738406
  0.78416923  0.44171532  0.50341253  0.42774463  0.46015283  0.94158806
  0.7193633   0.36352933 -0.11185186  0.50048431  0.15017838  0.28048227
  1.04897433 -0.09840388  0.70292135  0.1914153   0.61355767  0.50561426
  0.07932874  0.25007108  0.90490666  0.83513929  0.44236946  0.23490573
 -0.1392946   0.56580477  0.33121679  0.63920779  0.97774999  0.87864455
  0.19052596  0.57477973  0.91236397  0.60453232  0.02562198  0.61091656]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.68635946  0.23290196  0.5006802   0.53020826  0.24663346  0.23394472
  0.90888466  0.75030605  0.74811562  0.25638052  0.62686151  0.36984334
  0.7978075   0.23548183  0.52002227  0.58983387  0.54153861  0.87769911
  0.63561114  0.33049151  0.58202405  0.52400932  0.91571192  0.43790118
  1.07043734 -0.0306031   0.73772262  0.14393253  0.98444692  0.22335908
  1.05262778  0.86262638  0.17239092  0.97622087  0.12958008  1.07234256
  0.99534308  0.38733977  1.0947008   0.29989524  0.80844571  0.18735231
  0.48304979  0.265988    0.6942639   0.24012197  0.93581087  0.4671652
  0.83438809  0.39149646  0.45319367  0.37752577  0.51037169  0.99180692
  0.66914444  0.41374819 -0.061633    0.45026545  0.09995952  0.23026342
  0.99875547 -0.14862274  0.65270249  0.14119644  0.66377653  0.55583312
  0.1295476   0.30028994  0.85468781  0.78492043  0.49258832  0.18468687
 -0.08907574  0.61602363  0.38143565  0.68942665  1.02796885  0.92886341
  0.24074482  0.52456087  0.96258283  0.65475118 -0.02459688  0.66113542]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.67241334  0.21895584  0.48673408  0.51626213  0.23268733  0.21999859
  0.89493854  0.73635993  0.73416949  0.27032664  0.64080763  0.38378947
  0.81175363  0.22153571  0.5339684   0.57588775  0.55548474  0.89164524
  0.64955726  0.34443763  0.59597018  0.53795545  0.9017658   0.45184731
  1.08438347 -0.04454922  0.72377649  0.15787866  0.99839305  0.2373052
  1.03868165  0.84868026  0.18633704  0.96227475  0.11563395  1.05839643
  0.98139696  0.37339365  1.10864693  0.31384137  0.82239183  0.17340619
  0.49699592  0.25204188  0.70821003  0.2540681   0.94975699  0.48111133
  0.84833421  0.40544259  0.4671398   0.3914719   0.49642557  1.00575304
  0.65519832  0.42769431 -0.04768687  0.46421158  0.11390564  0.21631729
  1.01270159 -0.16256887  0.63875636  0.12725031  0.6498304   0.56977924
  0.11560147  0.28634381  0.86863393  0.7709743   0.50653444  0.198633
 -0.07512962  0.62996975  0.36748952  0.70337278  1.01402272  0.91491729
  0.25469094  0.51061475  0.97652895  0.64080505 -0.01065075  0.67508155]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.62579213  0.26557705  0.44011287  0.56288334  0.27930854  0.2666198
  0.94155974  0.78298113  0.7807907   0.22370544  0.68742884  0.43041067
  0.85837483  0.1749145   0.5805896   0.62250895  0.60210594  0.84502403
  0.60293606  0.39105884  0.54934897  0.49133424  0.94838701  0.49846852
  1.03776226 -0.09117043  0.7703977   0.20449987  1.04501425  0.28392641
  0.99206045  0.89530147  0.13971584  0.91565354  0.06901275  1.10501764
  0.93477575  0.42001486  1.06202572  0.26722016  0.86901304  0.12678498
  0.54361712  0.29866308  0.75483123  0.3006893   0.90313579  0.43449012
  0.80171301  0.35882138  0.42051859  0.34485069  0.44980436  0.95913184
  0.70181952  0.47431552 -0.09430808  0.41759037  0.06728444  0.16969608
  1.0593228  -0.11594766  0.59213516  0.17387152  0.69645161  0.61640045
  0.06898027  0.33296502  0.91525514  0.7243531   0.55315565  0.15201179
 -0.12175082  0.67659096  0.41411073  0.65675157  1.06064393  0.86829608
  0.20806973  0.46399354  1.02315016  0.59418385  0.03597046  0.62846034]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.71497173  0.17639745  0.35093327  0.47370374  0.19012894  0.3557994
  0.85238015  0.69380153  0.6916111   0.31288503  0.59824924  0.51959027
  0.76919524  0.2640941   0.6697692   0.71168855  0.51292634  0.93420363
  0.51375646  0.48023844  0.63852857  0.58051384  0.85920741  0.58764812
  0.94858266 -0.18035003  0.8595773   0.11532027  1.13419385  0.37310601
  0.90288085  0.80612187  0.05053624  0.82647394  0.15819234  1.01583804
  0.84559615  0.50919445  0.97284612  0.35639976  0.95819264  0.03760538
  0.45443753  0.38784268  0.84401083  0.2115097   0.81395619  0.52366972
  0.71253341  0.26964178  0.33133899  0.43403029  0.53898396  0.86995224
  0.61263992  0.56349512 -0.18348768  0.32841077  0.15646404  0.08051648
  0.9701432  -0.20512726  0.68131476  0.08469192  0.78563121  0.70558005
  0.15815986  0.42214462  1.00443474  0.8135327   0.64233525  0.0628322
 -0.03257123  0.58741136  0.32493113  0.74593117  1.14982353  0.77911648
  0.11889014  0.37481394  1.11232976  0.68336344  0.12515005  0.53928074]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 7.53150894e-01  1.38218285e-01  3.89112434e-01  5.11882903e-01
  1.51949780e-01  3.93978559e-01  8.90559307e-01  6.55622372e-01
  7.29790262e-01  2.74705873e-01  6.36428401e-01  5.57769434e-01
  7.31016073e-01  3.02273260e-01  6.31590041e-01  6.73509390e-01
  5.51105505e-01  8.96024470e-01  4.75577295e-01  4.42059274e-01
  6.00349408e-01  5.42334675e-01  8.21028245e-01  6.25827278e-01
  9.86761827e-01 -1.42170865e-01  8.97756460e-01  1.53499429e-01
  1.17237301e+00  4.11285169e-01  8.64701687e-01  8.44301029e-01
  8.87153990e-02  8.64653105e-01  1.96371506e-01  9.77658877e-01
  8.83775313e-01  4.71015292e-01  1.01102529e+00  3.94578923e-01
  9.20013476e-01 -5.73781638e-04  4.16258363e-01  3.49663519e-01
  8.05831671e-01  1.73330542e-01  8.52135352e-01  4.85490560e-01
  7.50712569e-01  3.07820947e-01  2.93159828e-01  4.72209453e-01
  5.00804797e-01  8.31773075e-01  6.50819087e-01  5.25315958e-01
 -1.45308515e-01  3.66589933e-01  1.18284873e-01  1.18695647e-01
  1.00832236e+00 -1.66948098e-01  7.19493918e-01  4.65127572e-02
  8.23810371e-01  7.43759211e-01  1.96339026e-01  3.83965454e-01
  1.04261390e+00  7.75353534e-01  6.04156088e-01  2.46530330e-02
 -7.07503879e-02  5.49232200e-01  3.63110292e-01  7.07752007e-01
  1.18800269e+00  8.17295644e-01  1.57069297e-01  3.36634780e-01
  1.15050892e+00  7.21542607e-01  8.69708917e-02  5.01101578e-01]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[ 0.68038441  0.21098477  0.46187892  0.43911642  0.22471627  0.46674504
  0.96332579  0.72838886  0.65702378  0.34747236  0.70919489  0.63053592
  0.65824959  0.37503975  0.55882356  0.6007429   0.62387199  0.82325798
  0.54834378  0.36929279  0.52758292  0.46956819  0.89379473  0.55306079
  1.05952831 -0.06940438  0.82498997  0.22626592  1.09960653  0.33851868
  0.93746817  0.91706751  0.16148188  0.79188662  0.26913799  0.90489239
  0.9565418   0.39824881  0.9382588   0.32181244  0.99277996 -0.07334027
  0.34349188  0.42243     0.87859816  0.24609703  0.77936887  0.55825705
  0.82347905  0.23505446  0.22039334  0.54497594  0.57357128  0.75900659
  0.5780526   0.45254947 -0.218075    0.43935642  0.19105136  0.19146213
  0.93555588 -0.09418161  0.7922604   0.11927924  0.75104389  0.67099273
  0.12357254  0.45673194  1.11538038  0.70258705  0.67692257  0.09741952
 -0.14351687  0.62199869  0.29034381  0.78051849  1.1152362   0.74452916
  0.08430281  0.40940127  1.07774243  0.79430909  0.15973738  0.42833509]",10
