"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 8.95163269e-01  5.37564089e-01  1.07558909e-01  9.16121438e-01
  1.02176355e-01  6.58875450e-01  6.37797217e-01  3.31260772e-01
  7.84341745e-01  8.79127637e-01  7.62431685e-01  2.44731019e-01
  5.09614158e-01  1.90289189e-01  2.41455671e-01  6.74062746e-01
  2.32992480e-01  2.09007376e-01  1.49199037e-03  2.06721094e-01
  4.78245787e-01  4.54605504e-01  7.92603415e-01  7.13032238e-01
  2.60241862e-02  7.87396937e-01  9.32514859e-01 -2.26623386e-04]",1
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.91958994  0.56199076  0.08313224  0.94054811  0.12660302  0.63444878
  0.61337055  0.35568744  0.75991508  0.90355431  0.73800502  0.22030435
  0.53404083  0.21471586  0.217029    0.64963608  0.25741915  0.18458071
 -0.02293468  0.23114776  0.45381912  0.47903217  0.76817675  0.73745891
  0.00159752  0.81182361  0.90808819 -0.02465329]",2
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.92673547  0.56913629  0.07598671  0.93340258  0.13374855  0.64159431
  0.60622502  0.36283297  0.76706061  0.91069983  0.74515055  0.22744988
  0.5268953   0.20757033  0.20988347  0.64249055  0.25027362  0.19172624
 -0.03008021  0.23829329  0.44667359  0.47188664  0.77532228  0.73031338
  0.00874305  0.81896913  0.90094266 -0.03179882]",3
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.87631917  0.61955259  0.12640301  0.88298628  0.08333225  0.59117801
  0.65664132  0.41324927  0.7166443   0.86028353  0.69473424  0.27786618
  0.5773116   0.25798663  0.26029977  0.59207425  0.19985732  0.24214254
 -0.08049651  0.28870959  0.39625729  0.52230294  0.72490597  0.67989708
  0.05915935  0.86938544  0.95135896  0.01861748]",4
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.90814032  0.65137374  0.09458186  0.91480743  0.05151109  0.62299917
  0.62482016  0.44507043  0.74846546  0.82846238  0.66291309  0.24604502
  0.60913276  0.22616547  0.22847862  0.56025309  0.16803616  0.27396369
 -0.11231767  0.32053075  0.42807844  0.5541241   0.75672713  0.71171823
  0.02733819  0.90120659  0.91953781 -0.01320368]",5
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.88258981  0.67692425  0.06903135  0.88925692  0.02596058  0.59744866
  0.65037067  0.47062094  0.77401597  0.80291187  0.6884636   0.27159553
  0.58358225  0.20061496  0.20292811  0.5858036   0.14248565  0.24841318
 -0.13786818  0.34608126  0.40252793  0.57967461  0.73117662  0.73726874
  0.0528887   0.87565608  0.8939873  -0.03875419]",6
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.88912972  0.67038434  0.06249143  0.89579683  0.01942067  0.59090874
  0.64383076  0.47716085  0.78055588  0.79637195  0.69500351  0.27813545
  0.57704233  0.20715487  0.1963882   0.59234351  0.14902556  0.24187327
 -0.14440809  0.33954135  0.39598802  0.58621452  0.72463671  0.73072883
  0.04634879  0.86911617  0.90052721 -0.03221427]",7
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.85585091  0.70366316  0.09577025  0.86251802 -0.01385815  0.55762993
  0.67710958  0.51043967  0.8138347   0.76309314  0.66172469  0.24485663
  0.61032115  0.17387606  0.16310938  0.55906469  0.11574675  0.20859445
 -0.11112927  0.37282017  0.42926684  0.61949334  0.75791553  0.69745001
  0.01306997  0.90239499  0.86724839  0.00106454]",8
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.84937386  0.7101402   0.1022473   0.86899506 -0.0073811   0.55115288
  0.67063254  0.51691671  0.80735766  0.76957018  0.65524765  0.23837958
  0.6167982   0.16739901  0.15663233  0.56554174  0.1092697   0.2150715
 -0.11760631  0.36634312  0.43574388  0.62597039  0.76439257  0.69097297
  0.01954701  0.90887203  0.86077135 -0.0054125 ]",9
"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]","[ 0.83857148  0.69933782  0.09144491  0.87979745 -0.01818349  0.56195527
  0.68143492  0.50611432  0.81816004  0.75876779  0.66605003  0.2275772
  0.62760058  0.15659663  0.14582995  0.55473935  0.09846732  0.20426911
 -0.1284087   0.35554074  0.4249415   0.63677277  0.75359018  0.70177536
  0.00874463  0.89806965  0.84996896 -0.01621489]",10
